"donor_id","CD8-positive, alpha-beta T cell","gamma-delta T cell","regulatory T cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta T cell","mucosal invariant T cell","double negative thymocyte"
"281_282",0,8,32,227,26,203,22,22,139,15,1,5,0
"282_283",0,20,9,154,89,143,54,23,124,4,1,10,1
"283_284",0,6,28,234,111,264,58,22,71,14,0,8,0
"284_285",0,18,20,325,230,202,18,8,102,22,0,7,1
"286_287",0,15,11,93,97,110,9,9,78,1,0,13,6
"287_288",0,7,45,157,9,319,32,18,143,7,4,7,3
"288_289",0,1,51,376,47,295,13,8,27,1,0,2,1
"289_290",0,19,17,326,95,179,26,23,66,4,0,4,0
"290_291",0,13,25,397,65,290,25,23,40,4,1,4,1
"291_292",0,14,5,190,9,285,25,4,56,1,1,3,0
"292_293",1,11,24,477,64,275,9,9,8,10,2,24,3
"293_294",0,8,14,292,22,158,7,15,47,3,0,1,0
"294_295",0,19,35,418,68,225,41,10,170,26,0,24,1
"295_296",1,6,16,326,32,191,7,10,194,15,0,4,0
"296_297",1,18,16,340,28,200,3,30,198,76,1,0,0
"297_298",0,23,28,326,4,155,3,13,114,14,0,4,1
"298_299",0,51,25,392,46,342,42,14,205,17,2,14,1
"299_300",0,36,21,187,4,174,11,7,97,17,0,1,1
"301_302",0,15,58,621,56,405,16,43,91,11,1,2,4
"302_303",0,19,32,359,23,318,28,19,241,23,0,3,1
"303_304",0,9,40,648,40,372,13,21,37,2,0,5,7
"304_305",0,3,19,279,16,246,25,16,116,9,1,3,4
"305_306",0,60,8,117,9,182,21,14,324,64,0,3,1
"306_307",0,1,13,204,30,313,15,28,56,9,0,8,0
"307_308",0,25,20,247,9,306,24,11,151,10,0,2,1
"308_309",0,4,14,273,22,171,5,2,5,2,0,0,1
"309_310",0,11,5,77,4,158,33,5,130,33,1,10,1
"310_311",0,29,31,467,18,205,20,20,336,48,0,3,0
"311_312",0,3,21,135,3,357,18,6,38,3,2,25,0
"312_313",1,11,4,51,28,115,28,14,495,65,0,1,0
"313_314",0,18,12,270,159,129,22,11,84,12,1,10,3
"314_315",0,19,15,360,47,416,42,29,193,14,1,3,1
"315_316",2,5,7,40,4,270,15,5,141,42,6,3,4
"316_317",0,8,41,292,47,250,28,9,54,9,0,36,9
"317_318",0,20,17,399,49,313,89,16,351,37,0,4,2
"318_319",2,28,16,223,20,321,46,33,322,23,0,5,6
"319_320",0,1,6,46,2,122,9,4,49,1,1,4,4
"320_321",0,9,9,173,5,160,26,4,127,24,1,0,1
"321_322",0,20,6,191,19,179,34,6,366,19,2,0,2
"322_323",0,28,7,194,17,211,16,20,134,29,1,11,1
"323_324",0,17,6,254,13,88,4,3,302,2,0,1,1
"324_325",0,9,16,39,1,136,15,2,424,27,0,10,1
"325_326",0,17,4,415,17,139,20,18,162,36,0,2,0
"326_327",1,9,19,414,34,341,32,27,81,2,0,1,0
"327_328",0,45,7,452,172,174,27,15,28,3,0,31,3
"328_329",1,12,18,262,11,428,42,26,396,67,1,9,4
"329_330",0,12,11,273,46,339,70,28,300,214,1,5,1
"330_331",0,4,8,344,10,180,46,13,105,10,1,5,0
"331_332",0,12,11,424,257,344,31,13,114,3,2,22,5
"332_333",0,14,14,699,241,318,15,23,86,6,1,11,2
"333_334",2,84,11,266,13,294,27,13,395,16,1,7,1
"334_335",0,11,24,530,134,281,27,11,59,2,0,51,2
"335_336",1,12,13,154,17,284,25,12,124,82,2,4,0
"336_337",0,39,4,27,12,137,40,38,270,244,6,0,2
"337_338",0,8,20,288,144,294,36,31,140,7,2,4,2
"338_339",1,17,36,106,20,290,36,20,186,34,0,0,0
"339_340",0,14,29,126,7,289,57,38,231,57,0,10,2
"340_341",0,32,52,238,24,308,45,15,301,92,0,7,0
"342_343",1,39,5,79,2,101,6,5,467,24,0,1,2
"344_345",0,3,16,177,22,339,45,28,262,36,0,1,1
"345_346",0,10,10,55,12,246,66,3,398,23,0,6,6
"346_347",0,70,34,38,38,129,12,8,50,11,2,5,2
"347_348",0,12,21,213,39,148,25,9,167,20,0,9,1
"348_349",0,15,77,258,157,415,55,26,126,47,0,30,0
"349_350",1,56,29,201,22,233,27,19,339,173,2,2,0
"350_351",0,11,17,57,30,180,27,16,116,24,1,18,1
"351_352",0,11,6,60,10,80,5,5,54,1,0,0,1
"352_353",0,44,68,485,64,425,49,22,158,28,4,16,3
"353_354",0,14,29,116,17,381,15,5,42,6,0,21,3
"354_355",0,48,17,259,135,192,25,18,166,9,1,24,5
"355_356",0,20,28,464,131,136,23,7,37,2,0,8,3
"356_357",0,77,17,276,81,252,27,22,179,19,1,3,2
"357_358",0,44,20,647,99,203,13,16,171,17,0,3,0
"358_359",1,11,14,454,9,192,13,8,248,72,0,0,1
"359_360",1,26,26,383,78,348,27,26,406,41,1,1,6
"360_361",0,11,26,435,117,163,33,12,30,5,1,51,1
"361_362",1,19,84,442,62,608,55,57,221,51,1,23,3
"363_364",0,21,77,662,68,277,33,11,31,5,1,29,1
"364_365",0,25,40,481,229,246,17,21,57,5,0,9,5
"365_366",0,40,39,409,38,260,10,58,167,9,0,5,3
"366_367",0,17,55,697,189,199,38,24,107,19,1,3,2
"367_368",1,45,50,344,47,233,31,21,338,68,1,7,1
"368_369",0,8,28,297,86,180,45,17,66,2,1,17,3
"369_370",0,22,57,652,34,293,43,9,82,8,2,5,2
"370_371",0,21,21,317,123,375,21,27,24,2,0,3,2
"371_372",1,4,29,398,49,379,33,27,31,2,0,4,0
"372_373",0,34,13,283,60,188,30,13,220,4,2,4,0
"373_374",1,13,33,209,16,234,35,14,185,40,0,1,0
"374_375",0,7,9,94,7,127,44,21,189,33,0,0,3
"376_377",1,11,30,158,19,273,41,37,189,22,1,1,3
"377_378",0,19,48,396,230,366,51,47,82,6,0,8,0
"378_379",0,21,24,340,164,328,36,21,116,9,2,36,2
"379_380",0,15,27,438,129,267,28,19,228,8,1,1,1
"380_381",1,15,26,379,24,193,3,7,222,7,0,0,2
"381_382",2,20,15,66,1,114,35,5,758,89,0,1,0
